starttime	seconds	ctime	dtime	ttime	wait
Wed Sep 08 17:37:38 2021	1631115458	5	571	576	571
Wed Sep 08 17:37:38 2021	1631115458	0	576	576	576
Wed Sep 08 17:37:52 2021	1631115472	0	577	577	576
Wed Sep 08 17:37:45 2021	1631115465	0	578	578	577
Wed Sep 08 17:37:51 2021	1631115471	0	578	578	577
Wed Sep 08 17:37:51 2021	1631115471	0	578	578	578
Wed Sep 08 17:37:47 2021	1631115467	0	579	579	579
Wed Sep 08 17:37:43 2021	1631115463	0	581	581	581
Wed Sep 08 17:37:39 2021	1631115459	0	582	582	581
Wed Sep 08 17:37:51 2021	1631115471	0	583	583	582
Wed Sep 08 17:37:45 2021	1631115465	0	585	585	584
Wed Sep 08 17:37:44 2021	1631115464	0	585	585	585
Wed Sep 08 17:37:56 2021	1631115476	0	585	585	585
Wed Sep 08 17:37:39 2021	1631115459	0	586	586	586
Wed Sep 08 17:37:42 2021	1631115462	0	586	587	586
Wed Sep 08 17:37:50 2021	1631115470	0	588	588	588
Wed Sep 08 17:37:42 2021	1631115462	0	588	588	588
Wed Sep 08 17:37:48 2021	1631115468	0	589	589	588
Wed Sep 08 17:37:45 2021	1631115465	0	589	589	588
Wed Sep 08 17:37:43 2021	1631115463	0	589	589	589
Wed Sep 08 17:37:39 2021	1631115459	0	591	591	590
Wed Sep 08 17:37:55 2021	1631115475	0	593	593	592
Wed Sep 08 17:37:42 2021	1631115462	0	593	593	438
Wed Sep 08 17:37:39 2021	1631115459	0	594	594	593
Wed Sep 08 17:37:38 2021	1631115458	4	590	594	590
Wed Sep 08 17:37:45 2021	1631115465	0	596	596	595
Wed Sep 08 17:37:43 2021	1631115463	0	596	596	476
Wed Sep 08 17:37:42 2021	1631115462	0	597	597	596
Wed Sep 08 17:37:50 2021	1631115470	0	598	598	597
Wed Sep 08 17:37:53 2021	1631115473	0	599	599	598
Wed Sep 08 17:37:51 2021	1631115471	0	600	600	599
Wed Sep 08 17:37:45 2021	1631115465	0	600	600	599
Wed Sep 08 17:37:47 2021	1631115467	0	600	600	599
Wed Sep 08 17:37:51 2021	1631115471	0	601	601	601
Wed Sep 08 17:37:40 2021	1631115460	0	602	602	601
Wed Sep 08 17:37:48 2021	1631115468	0	603	603	602
Wed Sep 08 17:37:42 2021	1631115462	0	603	603	483
Wed Sep 08 17:37:39 2021	1631115459	0	603	603	602
Wed Sep 08 17:37:43 2021	1631115463	0	606	606	605
Wed Sep 08 17:37:39 2021	1631115459	0	606	606	605
Wed Sep 08 17:37:39 2021	1631115459	0	606	606	606
Wed Sep 08 17:37:47 2021	1631115467	0	608	608	607
Wed Sep 08 17:37:51 2021	1631115471	0	608	608	608
Wed Sep 08 17:37:40 2021	1631115460	0	608	608	591
Wed Sep 08 17:37:45 2021	1631115465	0	609	609	607
Wed Sep 08 17:37:40 2021	1631115460	0	609	609	608
Wed Sep 08 17:37:53 2021	1631115473	0	609	610	609
Wed Sep 08 17:37:55 2021	1631115475	0	610	610	609
Wed Sep 08 17:37:56 2021	1631115476	0	611	611	610
Wed Sep 08 17:37:47 2021	1631115467	0	611	611	610
Wed Sep 08 17:37:46 2021	1631115466	1	611	612	610
Wed Sep 08 17:37:43 2021	1631115463	0	613	613	612
Wed Sep 08 17:37:40 2021	1631115460	0	613	613	612
Wed Sep 08 17:37:45 2021	1631115465	0	614	614	612
Wed Sep 08 17:37:53 2021	1631115473	0	614	614	614
Wed Sep 08 17:37:45 2021	1631115465	0	615	615	610
Wed Sep 08 17:37:44 2021	1631115464	0	615	615	614
Wed Sep 08 17:37:50 2021	1631115470	0	615	615	615
Wed Sep 08 17:37:54 2021	1631115474	0	615	615	615
Wed Sep 08 17:37:45 2021	1631115465	0	617	617	616
Wed Sep 08 17:37:44 2021	1631115464	0	617	617	616
Wed Sep 08 17:37:47 2021	1631115467	0	617	617	617
Wed Sep 08 17:37:39 2021	1631115459	0	617	617	617
Wed Sep 08 17:37:45 2021	1631115465	0	619	619	618
Wed Sep 08 17:37:45 2021	1631115465	0	620	620	619
Wed Sep 08 17:37:53 2021	1631115473	0	621	621	621
Wed Sep 08 17:37:56 2021	1631115476	0	622	622	622
Wed Sep 08 17:37:39 2021	1631115459	0	625	625	624
Wed Sep 08 17:37:44 2021	1631115464	0	625	625	624
Wed Sep 08 17:37:47 2021	1631115467	0	625	626	625
Wed Sep 08 17:37:45 2021	1631115465	0	626	626	625
Wed Sep 08 17:37:49 2021	1631115469	0	627	627	627
Wed Sep 08 17:37:45 2021	1631115465	0	628	628	627
Wed Sep 08 17:37:52 2021	1631115472	0	629	629	628
Wed Sep 08 17:37:55 2021	1631115475	0	629	629	629
Wed Sep 08 17:37:51 2021	1631115471	0	630	630	629
Wed Sep 08 17:37:45 2021	1631115465	0	630	630	629
Wed Sep 08 17:37:39 2021	1631115459	0	631	631	568
Wed Sep 08 17:37:44 2021	1631115464	0	631	631	631
